Participant ID,"Name of CCASS Participant
(* for Consenting Investor Participants )",Address,Shareholding,% of the total number of Issued Shares/ Warrants/ Units,stock_code,report_date
C00019,THE HONGKONG AND SHANGHAI BANKING,HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON,"1,169,469,011",30.32%,00002,2020-11-10
C00100,"JPMORGAN CHASE BANK, NATIONAL",18/F TOWER 2 THE QUAYSIDE 77 HOI BUN ROAD KWUN TONG KOWLOON,"335,415,725",8.69%,00002,2020-11-10
C00010,CITIBANK N.A.,9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON,"249,114,479",6.46%,00002,2020-11-10
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,SECURITIES SERVICES 15/F STANDARD CHARTERED TOWER 388 KWUN TONG ROAD KWUN TONG KOWLOON,"140,292,182",3.63%,00002,2020-11-10
C00033,BANK OF CHINA (HONG KONG) LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"72,665,809",1.88%,00002,2020-11-10
C00018,HANG SENG BANK LTD,16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"68,524,656",1.77%,00002,2020-11-10
C00074,DEUTSCHE BANK AG,51/F-66/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"67,459,731",1.74%,00002,2020-11-10
B01161,UBS SECURITIES HONG KONG LTD,52/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG,"54,651,451",1.41%,00002,2020-11-10
B01284,HANG SENG SECURITIES LTD,16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"37,370,256",0.96%,00002,2020-11-10
C00093,BNP PARIBAS SECURITIES SERVICES,21/F PCCW TOWER TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG,"23,719,544",0.61%,00002,2020-11-10
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"22,874,934",0.59%,00002,2020-11-10
B01130,BOCI SECURITIES LTD,22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"18,395,685",0.47%,00002,2020-11-10
C00042,CMB WING LUNG BANK LTD,RM 1207-1209 12/F WING LUNG BANK CENTRE 636 NATHAN ROAD KOWLOON,"17,344,039",0.44%,00002,2020-11-10
C00003,THE BANK OF EAST ASIA LTD,35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON,"16,644,296",0.43%,00002,2020-11-10
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG,"14,679,273",0.38%,00002,2020-11-10
C00015,DBS BANK (HONG KONG) LTD,7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON,"12,502,639",0.32%,00002,2020-11-10
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,LEVEL 88 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"11,488,530",0.29%,00002,2020-11-10
B01590,INTERACTIVE BROKERS HONG KONG LTD,SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG,"11,152,965",0.28%,00002,2020-11-10
C00041,OCBC WING HANG BANK LTD,UNIT 1702 17/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG,"11,116,990",0.28%,00002,2020-11-10
C00037,SHANGHAI COMMERCIAL BANK LTD,C/O SECURITIES PROCESSING CENTRE LEVEL 23 TOWER 2 KOWLOON COMMERCE CENTRE 51 KWAI CHEONG ROAD KWAI CHUNG NEW TERRITORIES,"10,124,977",0.26%,00002,2020-11-10
B01353,UOB KAY HIAN (HONG KONG) LTD,6/F HARCOURT HOUSE 39 GLOUCESTER ROAD HONG KONG,"10,038,551",0.26%,00002,2020-11-10
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,LEVEL 25 HSBC MAIN BUILDING 1 QUEEN'S ROAD CENTRAL HONG KONG,"9,036,878",0.23%,00002,2020-11-10
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,15/F BANK OF COMMUNICATIONS TOWER 231-235 GLOUCESTER ROAD WANCHAI HONG KONG,"8,926,188",0.23%,00002,2020-11-10
B01727,ICBC (ASIA) SECURITIES LTD,LEVEL 16 TOWER 1 MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG KOWLOON,"7,897,668",0.20%,00002,2020-11-10
C00028,NANYANG COMMERCIAL BANK LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"7,071,544",0.18%,00002,2020-11-10
B01224,MERRILL LYNCH FAR EAST LTD,C/O BANK OF AMERICA MERRILL LYNCH 38/F CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"6,959,510",0.18%,00002,2020-11-10
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,42/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"6,732,946",0.17%,00002,2020-11-10
